"ID incidence with coutry, demand, grp, same year"				frequency	Free status at the year	Govt. response	Violent govt res?	# of part.	Protestor Violence
Argentina	"political behavior, process"	"General Confederation of Labour, Argentine Workers'Movement (MTA) and the Argentine Workers' Congress (CTA), the UCR [Radical Civic Union] and Frepaso [Front for a Country in Solidarity] "	1996	1					
Argentina	"political behavior, process"	General Labor Confederation	1990	2	1				
Argentina	"political behavior, process"	including retired and active duty officers	2006	1					
Argentina	"political behavior, process"	Jews (Active Memory)	1994	1					
Argentina	"political behavior, process"	labor confederations	2001	1					
Argentina	"political behavior, process"	labor movement	1996	3					
Argentina	"political behavior, process"	labor supporters	2000	1	1				
Argentina	"political behavior, process"	leftist group members	1994	1					
Argentina	"political behavior, process"	masked protestors	2004	1					
Argentina	"political behavior, process"	middle and upper class	2008	1					
Argentina	"political behavior, process"	middle class citizens	2002	3					
Argentina	"political behavior, process"	"Movement Towards Socialism, the Workers' Party, the People's Intransigent Movement and the Permanent Assembly for Human Rights"	1991	1					
Argentina	"political behavior, process"	opposition and trade union groups	2004	1					
Argentina	"political behavior, process"	piqueteros	2004	1					
Argentina	"political behavior, process"	protesters	2015	3					
Argentina	"political behavior, process"	"protesters, prosecutors, opposition leaders"	2015	1					
Argentina	"political behavior, process"	public employees	1995	1					
Argentina	"political behavior, process"	Public Workers Union Front (FGE)	1994	1					
Argentina	"political behavior, process"	Radical Civic Union [UCR]	1995	2					
Argentina	"political behavior, process"	Roman Catholic Church leaders	2010	1					
Argentina	"political behavior, process"	"state workers, unemployed"	1999	32					
Argentina	"political behavior, process"	students	1996	1					
Argentina	"political behavior, process"	students	1999	4					
Argentina	"political behavior, process"	taxi drivers	2007	1					
Argentina	"political behavior, process"	teachers and students	1992	1					
Argentina	"political behavior, process"	"teachers, transport, factory and communications workers, General Confederation of Labour"	1992	1					
Argentina	"political behavior, process"	"teachers, workers"	2001	23					
Argentina	"political behavior, process"	three major trade unions	2000	4					
Argentina	"political behavior, process"	unemployed 	2001	1					
Argentina	"political behavior, process"	unemployed and state workers	2000	1					
Argentina	"political behavior, process"	"unemployed workers, public employees and students"	2001	2					
Argentina	"political behavior, process"	"unionists representing state workers, teachers, truck drivers, pharmaceutical workers, electricians and farmers, right-wingers, Communists, Socialists, homosexual organizations"	1994	1					
Argentina	"political behavior, process"	widespread support of citizens	2002	75					
Argentina	"political behavior, process"	women; NiUnaMenos	2016	1					
Argentina	"political behavior, process"	workers	1990	1					
Argentina	"price increases, tax policy"	farmers	2008	45					
Argentina	"price increases, tax policy"	truck drivers	1999	4					
Argentina	removal of politician	"San Luis State Teachers' Association, teachers, public sector workers"	2004	1					
Argentina	social restrictions	homeless immigrants & migrants	2010	8					
Argentina	social restrictions	protesters	2015	1					
Armenia	labor wage dispute	Civil Servants	2010	1					
Armenia	labor wage dispute	"Communist Party of Armenia, the conservative-democratic party Haykandoukht, the Social Democratic Party of Armenia, the National Rebirth Party"	1997	1					
Armenia	labor wage dispute	employees of Armenia's two largest chemical enterprises	2010	1	1				
Armenia	labor wage dispute	pensioners	2005	1					
Armenia	police brutality	Armenian Helsinki Committee and rights activist	2004	1	1				
Armenia	police brutality	Armenian women	2008	1					
Armenia	police brutality	Kurdistan Workers Party	2005	1	1				
Armenia	police brutality	New Times Party 	2006	1					
Armenia	police brutality	Oposition Parties	2009	1					
Armenia	police brutality	Oposition Parties	2010	1					
Armenia	police brutality	opposition Armenian National	2010	1					
Armenia	police brutality	People's Party of Armenia	2008	2					
Armenia	"political behavior, process"	" Democratic Party of Armenia, the Republic Party, the Union of Socialist Forces and others"	2002	1					
Armenia	"political behavior, process"	100 relatives and political supporters of MP Musheg Movsisyan	2000	1					
Armenia	"political behavior, process"	14 opposition parties	2002	1					
Armenia	"political behavior, process"	Armenian National Movement	1990	1					
Armenia	"political behavior, process"	Armenian opposition National Congress	2011	1					
Armenia	"political behavior, process"	Armenian opposition parties 	2005	2					
Armenia	"political behavior, process"	Armenian Revolutionary Federation	2010	1					
Armenia	"political behavior, process"	Armenian Revolutionary Federation Dashnaktsutyun	1995	1					
Armenia	"political behavior, process"	Armenian war veterans	1998	1					
Armenia	"political behavior, process"	Communist Party of Armenia	2000	1					
Armenia	"political behavior, process"	Democratic Party of Armenia	1997	1					
Armenia	"political behavior, process"	Hovanessian's supporters	2013	1					
Armenia	"political behavior, process"	Hovannisian's supporters	2013	1	1				
Armenia	"political behavior, process"	National Democratic Party	1995	1					
Armenia	"political behavior, process"	National Democratic Union	1995	1					
Armenia	"political behavior, process"	National Democratic Union 	1996	3	1				
Armenia	"political behavior, process"	National Democratic Union of Armenia	1994	1	1				
Armenia	"political behavior, process"	No! Movement and New Armenia Movement	2015	1					
Armenia	"political behavior, process"	Noi Movement	2015	1					
Armenia	"political behavior, process"	Oposition Parties	2005	3					
Armenia	"political behavior, process"	Oposition Parties	2007	1					
Armenia	"political behavior, process"	Oposition Parties	2008	1					
Armenia	"political behavior, process"	opposition	1996	1					
Armenia	"political behavior, process"	Opposition	2002	1					
Armenia	"political behavior, process"	Opposition	2003	2					
Armenia	"political behavior, process"	opposition Armenian National Congress	2009	1					
Armenia	"political behavior, process"	Pan-National Movement 	2008	1					
Armenia	"political behavior, process"	Protesters	2004	1	1				
Armenia	"political behavior, process"	Protesters	2013	1					
Armenia	"political behavior, process"	protesters	2015	2					
Armenia	"political behavior, process"	protesters	2016	4					
Armenia	"political behavior, process"	small businesses	2000	11					
Armenia	"political behavior, process"	"supporters of the Armenian presidential candidate, Levon Ter-Petrosyan"	2008	11					
Armenia	"political behavior, process"	Taxi-drivers	1998	1					
Armenia	"political behavior, process"	The Impeachment bloc	2007	1					
Armenia	"political behavior, process"	Union of National Accord	1995	1					
Armenia	"political behavior, process"	Union of National Accord	1997	1					
Armenia	"political behavior, process"	"Union of National Accord: the National Democratic Union, the National Self-Determination Association, the Union of Constitutional Law, the Democratic Party of Armenia and the Dashnaktsutyun Revolutionary Federation"	1997	1	1				
Armenia	"price increases, tax policy"	Armenia's National Democratic Union	1994	1					
Armenia	"price increases, tax policy"	Labour Union	2005	1					
Armenia	"price increases, tax policy"	pensioners and invalids 	1999	1					
Armenia	"price increases, tax policy"	protester	2015	1					
Armenia	"price increases, tax policy"	Protesters	1992	1	1				
Armenia	removal of politician	Armenia's National Democratic Union	1994	1	1				
Armenia	removal of politician	Communist Party of Armenia	1999	27					
Armenia	removal of politician	Justice bloc and the National Unity Party	2004	1					
Armenia	removal of politician	National Accord	1997	1					
Armenia	removal of politician	National Democratic Union and National Self-Determination	1994	1	1				
Armenia	removal of politician	National Unity party	2004	1					
Armenia	removal of politician	opposition Armenian National	2010	1					
Armenia	removal of politician	opposition nationalist parties	1993	1					
Armenia	removal of politician	"Party of Intellectual Armenia, Conservative Party, Democratic Motherland Party"	2000	1					
Armenia	removal of politician	People's Party of Armenia	2002	1					
Armenia	removal of politician	Protesters	1991	1					
Armenia	removal of politician	protesters	2015	1	1				
Armenia	removal of politician	Republic PartY	2002	1					
Armenia	removal of politician	Republic Party 	2001	1					
Armenia	removal of politician	"Republic Party, the People's Party of Armenia and National Unity"	2001	1					
Armenia	removal of politician	the 21st century international association	2000	1	1				
Armenia	removal of politician	Union of Civic Accord	1994	1	1				
Armenia	removal of politician	Union of National Accord	1995	1					
Armenia	removal of politician	Union of Rightist Forces	2000	1					
Armenia	social restrictions	Aylentranq	2007	1					
Austria	labor wage dispute	protesters	2013	1					
Austria	"political behavior, process"	protesters	1999	1					
Austria	"political behavior, process"	protesters	2000	6	1				
Austria	"political behavior, process"	protesters	2002	1					
Austria	"political behavior, process"	protesters	2007	1					
Austria	"political behavior, process"	protesters	2009	1					
Austria	"political behavior, process"	residents	1990	1					
Austria	social restrictions	workers	2003	1					
Azerbaijan	labor wage dispute	military workers	1999	1					
Azerbaijan	land farm issue	Residents	2006	1					
Azerbaijan	land farm issue	Residents	2010	1					
Azerbaijan	land farm issue	Residents of Binaqadi	2010	1					
Azerbaijan	police brutality	antigovernment demonstrators	2012	1					
Azerbaijan	police brutality	Journalists	1999	1					
Azerbaijan	police brutality	Residents	2006	1					
Azerbaijan	police brutality	Residents	2008	1					
Azerbaijan	police brutality	Villagers	1999	1					
Azerbaijan	police brutality	Villagers	2005	1					
Azerbaijan	"political behavior, process"	30 opposition groups and parties	2002	1					
Azerbaijan	"political behavior, process"	Association of Independent Workers of Azerbaijan (AIWA)	1992	1					
Azerbaijan	"political behavior, process"	Azadliq bloc	2005	8					
Azerbaijan	"political behavior, process"	"Azadliq bloc (Musavat, the PFAP and Democratic Party of Azerbaijan)"	2005	1					
Azerbaijan	"political behavior, process"	Azerbaijani Social Democratic Party	1992	1					
Azerbaijan	"political behavior, process"	Azerbaijani veterans	1994	1					
Azerbaijan	"political behavior, process"	black headscarves	1999	1					
Azerbaijan	"political behavior, process"	Democratic Party of Azerbaijan	1999	1	"shopkeepers,2014,1


Bangladesh,removal of politician,Small Investors Forum Barisal,2011,1


Bangladesh,removal of politician,Small investors of Chittgong Stock Exchange (CSE),2011,1


Bangladesh,removal of politician,Small investors of Dhaka Stock Exchange,2011,8


Bangladesh,removal of politician,Students,1990,1


Bangladesh,removal of politician,Students,1996,1


Bangladesh,removal of politician,workers of Shramik League,2014,1


Bangladesh,social restrictions,Bangladesh Nationalist Party,1999,1


Bangladesh,social restrictions,Bangladesh Nationalist Party (BNP)'s women wing,2014,1


Bangladesh,social restrictions,Bangladesh Puja Udzapan Parishad,2014,1


Bangladesh,social restrictions,Communist Party of Bangladesh (CPB) and Socialist Party of Bangladesh (SPB),2014,1


Bangladesh,social restrictions,Indigenous Students' Organizations of Rajshahi University,2011,1


Bangladesh,social restrictions,Muksudpur Thana Awami League,2014,1


Bangladesh,social restrictions,Residents,1999,1


Bangladesh,social restrictions,Residents,2006,1


Bangladesh,social restrictions,Transgender groups,2011,1


Bangladesh,social restrictions,Victims of flooding,2000,1


Belarus,labor wage dispute,labor unions,1995,1


Belarus,political behavior"	Zubr (Bison)	2001	1	
Azerbaijan	"political behavior, process"	Democratic Party of Azerbaijan (DPA)	1998	1					
Azerbaijan	"political behavior, process"	Democratic Party of Azerbaijan and Azerbaijan's Party of National Independence	2003	1					
Azerbaijan	"political behavior, process"	demonstrators	1991	1					
Azerbaijan	"political behavior, process"	disabled veterans	2000	1					
Azerbaijan	"political behavior, process"	Islamic Party of Azerbaijan	2009	1					
Azerbaijan	"political behavior, process"	journalists and human rights activists 	2002	1					
Azerbaijan	"political behavior, process"	Karabakh Coordination Council of political parties	1999	1					
Azerbaijan	"political behavior, process"	Lezgins 	1993	1					
Azerbaijan	"political behavior, process"	Military Forces from the Interior Ministry	1995	5					
Azerbaijan	"political behavior, process"	Musavat	2011	3					
Azerbaijan	"political behavior, process"	Musavat and the PFAP People's Front of Azerbaijan Party	1999	1					
Azerbaijan	"political behavior, process"	Musavat party	2000	1					
Azerbaijan	"political behavior, process"	Musavat Party	2000	1					
Azerbaijan	"political behavior, process"	National Council of Democratic Forces	2016	1					
Azerbaijan	"political behavior, process"	National Resistance Movement	1994	1					
Azerbaijan	"political behavior, process"	OPON Troops	1994	6					
Azerbaijan	"political behavior, process"	Opposition parties	2011	1					
Azerbaijan	"political behavior, process"	Opposition supporters	1995	1					
Azerbaijan	"political behavior, process"	opposition supporters	1998	1					
Azerbaijan	"political behavior, process"	Opposition supporters	1998	1					
Azerbaijan	"political behavior, process"	opposition supporters	1998	1					
Azerbaijan	"political behavior, process"	Opposition supporters	1998	1					
Azerbaijan	"political behavior, process"	Opposition supporters	2000	3					
Azerbaijan	"political behavior, process"	Opposition supporters	2002	2					
Azerbaijan	"political behavior, process"	Opposition supporters	2003	1					
Azerbaijan	"political behavior, process"	opposition supporters	2013	1					
Azerbaijan	"political behavior, process"	Party for National Independence of Azerbaijan (PNIA)	2000	1					
Azerbaijan	"political behavior, process"	People's Front	1994	1					
Azerbaijan	"political behavior, process"	People's Front of Azerbaijan	2006	1					
Azerbaijan	"political behavior, process"	People's Front of Azerbaijan Party	2000	1	1				
Azerbaijan	"political behavior, process"	People's Front of Azerbaijan Party	2005	1					
Azerbaijan	"political behavior, process"	People's Front of Azerbaijan Party (PFAP)	1998	1					
Azerbaijan	"political behavior, process"	Popular Front	1992	3					
Azerbaijan	"political behavior, process"	President Elchibey's supporters	1993	4					
Azerbaijan	"political behavior, process"	protesters	1991	1	1				
Azerbaijan	"political behavior, process"	Protesters	1998	1					
Azerbaijan	"political behavior, process"	Protesters	1999	1					
Azerbaijan	"political behavior, process"	Protesters	2003	2					
Azerbaijan	"political behavior, process"	Protesters	2013	5					
Azerbaijan	"political behavior, process"	relatives and supporters of nine senior Azerbaijani army officers	1994	1					
Azerbaijan	"political behavior, process"	Residents	2002	1					
Azerbaijan	"political behavior, process"	Residents	2005	1					
Azerbaijan	"political behavior, process"	several Azerbaijani political parties	1996	1					
Azerbaijan	"political behavior, process"	Society of Karabakh War Veterans	2001	2					
Azerbaijan	"political behavior, process"	Students  	2010	1					
Azerbaijan	"political behavior, process"	Students of Independent Azerbaijan University	2006	2					
Azerbaijan	"political behavior, process"	The Azerbaijani Liberal Party [ALP] and the Democratic Party of Azerbaijan [DPA]	2001	1					
Azerbaijan	"political behavior, process"	the People's Front of Azerbaijan Party PFAP and the Party of Democratic Entrepreneurs	1999	1					
Azerbaijan	"political behavior, process"	Traders	2007	2					
Azerbaijan	"political behavior, process"	Union of Free Consumers (UFC)	1999	1					
Azerbaijan	"political behavior, process"	United Azerbaijan Union	2000	1					
Azerbaijan	"political behavior, process"	Villagers	2000	1					
Azerbaijan	"political behavior, process"	Villagers	2002	5					
Azerbaijan	"political behavior, process"	Villagers	2010	1					
Azerbaijan	"political behavior, process"	Young people	2010	1					
Azerbaijan	"political behavior, process"	youth branches of opposition parties and of youth movements	2010	1					
Azerbaijan	"political behavior, process"	youth organization of the People's Front of Azerbaijan Party	1998	1					
Azerbaijan	"price increases, tax policy"	Karabakh Liberation Organization	2007	1					
Azerbaijan	"price increases, tax policy"	Musavat Party	2007	1					
Azerbaijan	"price increases, tax policy"	People's Front of Azerbaijan	2007	1					
Azerbaijan	"price increases, tax policy"	protesters	2016	82					
Azerbaijan	removal of politician	30 opposition groups and parties	2002	1					
Azerbaijan	removal of politician	Azeris	1992	1					
Azerbaijan	removal of politician	Center of Coordinated Opposition	2003	1					
Azerbaijan	removal of politician	"Civic Solidarity Party, People's Front of Azerbaijan Party and the Communist Party of Azerbaijan"	2000	1					
Azerbaijan	removal of politician	Democratic Party of Azerbaijan	2002	1					
Azerbaijan	removal of politician	Musavat Party	2002	1					
Azerbaijan	removal of politician	Opposition supporters	2002	6					
Azerbaijan	removal of politician	Opposition supporters	2003	4					
Azerbaijan	removal of politician	Popular Front	1991	1					
Azerbaijan	removal of politician	protesters	2012	1					
Azerbaijan	social restrictions	Military Cadets	2002	1					
Azerbaijan	social restrictions	Residents	2006	1					
Azerbaijan	social restrictions	Traders	2008	1					
Azerbaijan	social restrictions	Villagers	2000	1					
Bahrain	labor wage dispute	Bahrainians	2005	1					
Bahrain	labor wage dispute	workers (maintenance and engineering division staff) 	2000	1					
Bahrain	land farm issue	Villagers (fishermen)	2007	1					
Bahrain	police brutality	rioters	2014	1					
Bahrain	"political behavior, process"	 Al Wefaq National Islamic Society	2014	1					
Bahrain	"political behavior, process"	Bahrainians	2003	1					
Bahrain	"political behavior, process"	Bahrainians (Shiite-led opposition)	2005	1					
Bahrain	"political behavior, process"	"opposition groups, anti-government protesters"	2014	2					
Bahrain	"political behavior, process"	pro-democracy supporters	2014	1					
Bahrain	"political behavior, process"	protesters	2014	1					
Bahrain	"political behavior, process"	protesters	2015	1					
Bahrain	"political behavior, process"	"protesters, youth"	2015	2					
Bahrain	"political behavior, process"	residents	2014	1					
Bahrain	"political behavior, process"	rioters	2014	3					
Bahrain	"political behavior, process"	Shiite Muslim youths	1996	1					
Bahrain	"political behavior, process"	Shiite Muslims	1996	1					
Bahrain	"political behavior, process"	Shiites	1994	15					
Bahrain	"political behavior, process"	Shiites	2007	4					
Bahrain	"political behavior, process"	Shiites	2016	1					
Bahrain	"political behavior, process"	The Islamic Front for the Liberation of Bahrain	1996	1					
Bahrain	"political behavior, process"	young protesters	1996	1					
Bangladesh	labor wage dispute	ACI Pharmaceutical workers	2011	2					
Bangladesh	labor wage dispute	angry relatives and workers	2013	1					
Bangladesh	labor wage dispute	"Auto-rickshaw drivers, rickshaw pullers and owners of these carriages"	2014	1					
Bangladesh	labor wage dispute	BANGLADESH MEDICAL ASSOCIATION	1994	1					
Bangladesh	labor wage dispute	Bangladesh MPO Deprived Teachers Forum	2011	1					
Bangladesh	labor wage dispute	Civil Servants	1997	1					
Bangladesh	labor wage dispute	dental students	2014	1					
Bangladesh	labor wage dispute	factory workers	2012	2					
Bangladesh	labor wage dispute	Federation of Trade Union and Awami League	2003	1					
Bangladesh	labor wage dispute	garment workers	2013	1					
Bangladesh	labor wage dispute	"government employees, Bangladesh Government Karmachari Samannay Parishad, Chittagong District Branch"	2014	1					
Bangladesh	labor wage dispute	jute mill workers and employees	2014	1					
Bangladesh	labor wage dispute	poultry farmers	2014	1					
Bangladesh	labor wage dispute	Workers	2011	1					
Bangladesh	labor wage dispute	workers	2013	3					
Bangladesh	labor wage dispute	Workers of two garment factories in Chittagong Export Processing Zone (CEPZ)	2014	1					
Bangladesh	land farm issue	JnU university students	2014	1					
Bangladesh	land farm issue	"local residents, Institution of Engineers, Bangladesh, Ain o Salish Kendra, Nijera Kori"	2014	1					
Bangladesh	land farm issue	Residents	2010	1					
Bangladesh	police brutality	apparel workers	2014	1					
Bangladesh	police brutality	Awami League	2004	1					
Bangladesh	police brutality	Awami League	2005	4					
Bangladesh	police brutality	Bangladesh Chhatra League (BCL)	2014	4					
Bangladesh	police brutality	Bangladesh Nationalist Party	1998	2					
Bangladesh	police brutality	BNP	2014	1					
Bangladesh	police brutality	Chhatra League	2007	1					
Bangladesh	police brutality	"Communist Party of Bangladesh (CPB), Awami League, Gono Forum, Workers' Party, Jatiya Samajtantrik Dal (JSD) and Bikalpa Dhara Bangladesh "	2005	1					
Bangladesh	police brutality	Islamic Chattra Shibir	1995	1					
Bangladesh	police brutality	Jamaat-e-Islami	2008	1					
Bangladesh	police brutality	Jatiyatabadi Chhatra Dal (JCD)	2002	1					
Bangladesh	police brutality	"JnU Teachers Association, university students"	2014	1					
Bangladesh	police brutality	Manikganj District Bangladesh Nationalist Party (BNP)	2011	1					
Bangladesh	police brutality	Opposition	1995	1					
Bangladesh	police brutality	Opposition BNP	2011	6					
Bangladesh	police brutality	Professors and Students	2007	1					
Bangladesh	police brutality	Professors and Students	2008	2					
Bangladesh	police brutality	protesters	2001	1					
Bangladesh	police brutality	protesters	2004	3					
Bangladesh	police brutality	protesters	2005	1					
Bangladesh	police brutality	Residents	2006	1					
Bangladesh	police brutality	seven-party opposition alliance	1998	1					
Bangladesh	police brutality	Students	2008	1					
Bangladesh	police brutality	Villagers of Uzirpur Upazila	2011	1					
Bangladesh	"political behavior, process"	 BNP-led 20-party alliance	2014	1					
Bangladesh	"political behavior, process"	 Jamaat-e-Islami 	2014	1					
Bangladesh	"political behavior, process"	 Jamaat-e-Islami and its student wing Islami Chhatra Shibir	2014	1					
Bangladesh	"political behavior, process"	 Jamaat-e-Islami supporters	2013	1					
Bangladesh	"political behavior, process"	 Jamaat-Shibir	2014	1					
Bangladesh	"political behavior, process"	"""free thinkers"" organisation, teachers, writers"	2015	1					
Bangladesh	"political behavior, process"	13 opposition political parties	1990	1					
Bangladesh	"political behavior, process"	activists	2015	1					
Bangladesh	"political behavior, process"	"activists from Hefajat-e-Islam, hardline Islamists"	2013	2					
Bangladesh	"political behavior, process"	Anti-Koran Law Resistance Committee	2008	1					
Bangladesh	"political behavior, process"	autorickshaw owners	2002	1					
Bangladesh	"political behavior, process"	Awami League	1992	2					
Bangladesh	"political behavior, process"	Awami League	1994	2					
Bangladesh	"political behavior, process"	Awami League	1996	1					
Bangladesh	"political behavior, process"	Awami League	2002	1					
Bangladesh	"political behavior, process"	Awami League	2003	1					
Bangladesh	"political behavior, process"	Awami League	2004	3					
Bangladesh	"political behavior, process"	Awami League	2005	3					
Bangladesh	"political behavior, process"	Awami League	2006	8					
Bangladesh	"political behavior, process"	Awami League and its front organisations	2014	1					
Bangladesh	"political behavior, process"	Bangladesh Chhatra Moitri (BCM)	2014	1					
Bangladesh	"political behavior, process"	Bangladesh Islami Front (BIF)	2014	1					
Bangladesh	"political behavior, process"	Bangladesh Nationalist Party	1997	6					
Bangladesh	"political behavior, process"	Bangladesh Nationalist Party	1998	8					
Bangladesh	"political behavior, process"	Bangladesh Nationalist Party	1999	6					
Bangladesh	"political behavior, process"	Bangladesh Nationalist Party	2000	2					
Bangladesh	"political behavior, process"	Bangladesh Nationalist Party	2010	1					
Bangladesh	"political behavior, process"	Bangladesh Share Market Investors Oikya Parishad	2011	1					
Bangladesh	"political behavior, process"	BNP	2014	1					
Bangladesh	"political behavior, process"	BNP activists	2014	2					
Bangladesh	"political behavior, process"	BNP and its youth front Jatiyatabadi Jubo Dal	2014	1					
Bangladesh	"political behavior, process"	"BNP, Bikalpa Dhara Bangladesh (BDB)"	2014	1					
Bangladesh	"political behavior, process"	BNP-Jamaat	2011	2					
