Country name,Year,Region,Protest,Start Day,Start Month,Start Year,End Day,End Month,End Year,Protester Violence,Number of Participants in Protest,Reported participation in protest,Protester Group Identity,Primary Protester Demands [Demand 1],Primary State Response to protests [Response 1],Time Spending
Afghanistan,2014,Asia,1,27,6,2014,27,6,2014,0,>10000,15000,"supporters of the presidential candidate Abdullah Abdullah, Tajiks and Hazaras","political behavior, process",ignore,1
Afghanistan,2014,Asia,1,19,6,2014,19,6,2014,0,100-999,300,university students,"political behavior, process",ignore,1
Afghanistan,2005,Asia,1,31,10,2005,31,10,2005,0,,200,National Islamic Front of Afghanistan candidates and supporters,social restrictions,ignore,1
Afghanistan,2005,Asia,1,5,5,2005,5,5,2005,0,,200,womens' groups,social restrictions,ignore,1
Albania,1991,Europe,1,18,5,1991,18,5,1991,0,5000-10000,> 50,Albanians,labor wage dispute,ignore,1
Albania,1992,Europe,1,19,1,1992,19,1,1992,0,>10000,20000,Workers,labor wage dispute,ignore,1
Albania,1992,Europe,1,25,8,1992,28,8,1992,1,100-999,> 50,Workers,labor wage dispute,crowd dispersal,4
Albania,1997,Europe,1,11,2,1997,11,2,1997,1,>10000,> 40000,Albanians,police brutality,ignore,1
Albania,1998,Europe,1,15,9,1998,15,9,1998,0,2000-4999,3000, followers of the former Albanian President Sali Berisha,"political behavior, process",ignore,1
Albania,1994,Europe,1,5,8,1994,12,8,1994,0,2000-4999,2500, former political prisoners ,"political behavior, process",ignore,8
Albania,1991,Europe,1,21,2,1991,21,2,1991,0,5000-10000,Thousands ,Albanians,"political behavior, process",ignore,1
Albania,1991,Europe,1,9,12,1991,9,12,1991,0,>10000,20000,Albanians,"political behavior, process",ignore,1
Albania,1991,Europe,1,13,12,1991,13,12,1991,0,>10000,> 20000,Albanians,"political behavior, process",ignore,1
Albania,1997,Europe,1,16,1,1997,16,1,1997,0,2000-4999,3000,Albanians,"political behavior, process",beatings,1
Albania,1997,Europe,1,19,1,1997,19,1,1997,0,2000-4999,2500,Albanians,"political behavior, process",beatings,1
Albania,1997,Europe,1,25,1,1997,25,1,1997,1,2000-4999,2000,Albanians,"political behavior, process",accomodation,1
Albania,1997,Europe,1,27,1,1997,27,1,1997,1,>10000,Tens of thousands,Albanians,"political behavior, process",crowd dispersal,1
Albania,1997,Europe,1,5,2,1997,5,2,1997,0,5000-10000,7000,Albanians,"political behavior, process",crowd dispersal,1
Albania,1997,Europe,1,8,2,1997,8,2,1997,1,>10000,> 42000,Albanians,"political behavior, process",beatings,1
Albania,1997,Europe,1,9,2,1997,9,2,1997,1,5000-10000,Thousands ,Albanians,"political behavior, process",beatings,1
Albania,1997,Europe,1,10,2,1997,10,2,1997,1,5000-10000,Thousands ,Albanians,"political behavior, process",beatings,1
Albania,1997,Europe,1,20,2,1997,20,2,1997,1,5000-10000,7000,Albanians,"political behavior, process",beatings,1
Albania,1993,Europe,1,28,10,1993,28,10,1993,0,5000-10000,> 50,ethnic Greeks,"political behavior, process",ignore,1
Albania,1996,Europe,1,28,5,1996,28,5,1996,0,5000-10000,Thousands ,leaders and supporters of opposition parties ,"political behavior, process",beatings,1
Albania,2011,Europe,1,28,1,2011,28,1,2011,0,>10000,10000s,opposition ,"political behavior, process",ignore,1
Albania,2010,Europe,1,1,5,2010,14,5,2010,0,100-999,200,opposition leaders,"political behavior, process",ignore,14
Albania,1991,Europe,1,29,5,1991,29,5,1991,1,>10000,> 10000,people,"political behavior, process",crowd dispersal,1
Albania,1990,Europe,1,15,12,1990,16,12,1990,1,>10000,Tens of thousands,"People, students, workers","political behavior, process",crowd dispersal,2
Albania,2000,Europe,1,29,11,2000,29,11,2000,1,2000-4999,1000s,protesters,"political behavior, process",crowd dispersal,1
Albania,2010,Europe,1,30,3,2010,30,4,2010,0,>10000,10000s,protesters,"political behavior, process",ignore,32
Albania,2010,Europe,1,1,5,2010,1,5,2010,0,2000-4999,1000s,protesters,"political behavior, process",crowd dispersal,1
Albania,2010,Europe,1,9,5,2010,9,5,2010,0,2000-4999,1000s,protesters,"political behavior, process",ignore,1
Albania,2010,Europe,1,15,5,2010,15,5,2010,0,2000-4999,1000s,protesters,"political behavior, process",ignore,1
Albania,2010,Europe,1,26,11,2010,26,11,2010,0,50-99,50+,protesters,"political behavior, process",ignore,1
Albania,2011,Europe,1,21,1,2011,21,1,2011,1,>10000,100000,protesters,"political behavior, process",crowd dispersal,1
Albania,2011,Europe,1,19,2,2011,19,2,2011,0,>10000,30000,protesters,"political behavior, process",ignore,1
Albania,2013,Europe,1,7,11,2013,7,11,2013,0,100-999,300,protesters,"political behavior, process",ignore,1
Albania,2013,Europe,1,14,11,2013,15,11,2013,0,2000-4999,1000s,protesters,"political behavior, process",ignore,2
Albania,1990,Europe,1,6,7,1990,6,7,1990,0,5000-10000,Thousands ,Protestors,"political behavior, process",beatings,1
Albania,1991,Europe,1,28,2,1991,28,2,1991,1,1000-1999,> 200,Protestors,"political behavior, process",arrests,1
Albania,1990,Europe,1,13,12,1990,13,12,1990,1,1000-1999,> 50,"Rioters, Students, Workers","political behavior, process",crowd dispersal,1
Albania,1990,Europe,1,9,12,1990,9,12,1990,1,1000-1999,hundreds,Students,"political behavior, process",beatings,1
Albania,1991,Europe,1,7,2,1991,7,2,1991,0,5000-10000,8000,Students,"political behavior, process",ignore,1
Albania,1990,Europe,1,12,12,1990,12,12,1990,0,5000-10000,> 9000,Students and other people,"political behavior, process",beatings,1
Albania,2013,Europe,1,21,1,2013,21,1,2013,0,2000-4999,3000,supporters of opposition Socialist party,"political behavior, process",ignore,1
Albania,1998,Europe,1,13,9,1998,13,9,1998,1,1000-1999,> 50,Supporters of the opposition,"political behavior, process",shootings,1
Albania,1993,Europe,1,30,7,1993,30,7,1993,0,>10000,20000,supporters of the Socialist Party,"political behavior, process",ignore,1
Albania,1991,Europe,1,2,4,1991,2,4,1991,1,2000-4999,Thousands ,Youths,"political behavior, process",shootings,1
Albania,1992,Europe,1,1,3,1992,1,3,1992,1,5000-10000,Thousands ,People,"price increases, tax policy",beatings,1
Albania,1997,Europe,1,18,2,1997,18,2,1997,0,1000-1999,> 50,Albanians,removal of politician,ignore,1
Albania,1998,Europe,1,19,9,1998,19,9,1998,0,2000-4999,3000,Supporters of Albania's former President Sali Berisha,removal of politician,ignore,1
Algeria,2014,MENA,1,13,10,2014,15,10,2014,0,100-999,100s,policemen,labor wage dispute,accomodation,3
Algeria,2014,MENA,1,14,10,2014,15,10,2014,0,100-999,100s,policemen,labor wage dispute,accomodation,2
Algeria,2014,MENA,1,28,11,2014,28,11,2014,1,50-99,>50,residents,land farm issue,crowd dispersal,1
Algeria,2001,MENA,1,28,4,2001,30,4,2001,1,,50,Berber youths,police brutality,killings,3
Algeria,2001,MENA,1,21,5,2001,21,5,2001,0,,500000,Berbers,police brutality,ignore,1
Algeria,2001,MENA,1,24,5,2001,24,5,2001,0,,10000,pro-Berber rights,police brutality,ignore,1
Algeria,2014,MENA,1,15,3,2014,15,3,2014,0,100-999,100s,"Barakat (Arabic for ""That's enough"") movement, anti-Bouteflika protesters","political behavior, process",ignore,1
Algeria,2014,MENA,1,21,3,2014,21,3,2014,0,2000-4999,1000s,"Barakat (Arabic for ""That's enough"") movement, anti-Bouteflika protesters","political behavior, process",ignore,1
Algeria,2014,MENA,1,5,4,2014,5,4,2014,1,100-999,100s,"Barakat (Arabic for ""That's enough"") movement, anti-Bouteflika protesters","political behavior, process",crowd dispersal,1
Algeria,2001,MENA,1,23,5,2001,24,5,2001,1,,50,Berber youths,"political behavior, process",shootings,2
Algeria,2001,MENA,1,31,5,2001,31,5,2001,0,,200000,Berbers,"political behavior, process",ignore,1
Algeria,1998,MENA,1,27,6,1998,28,6,1998,1,,1000,"Berbers, youths","political behavior, process",shootings,2
Algeria,2014,MENA,1,17,4,2014,17,4,2014,1,50-99,>70,"Kabyle ethnic group, youth","political behavior, process",crowd dispersal,1
Algeria,2014,MENA,1,17,4,2014,17,4,2014,1,50-99,>50,"Kabyle ethnic group, youth","political behavior, process",crowd dispersal,1
Algeria,1990,MENA,1,10,5,1990,10,5,1990,0,,35000,leftists/liberals,"political behavior, process",ignore,1
Algeria,1992,MENA,1,2,1,1992,2,1,1992,0,,135000,leftists/secularists,"political behavior, process",ignore,1
Algeria,1992,MENA,1,2,2,1992,2,2,1992,0,,100,muslim fundamentalist students,"political behavior, process",ignore,1
Algeria,1990,MENA,1,20,4,1990,20,4,1990,0,,10000,muslim fundamentalists,"political behavior, process",ignore,1
Algeria,1991,MENA,1,25,5,1991,7,6,1991,1,,10000,muslim fundamentalists,"political behavior, process",killings,14
Algeria,1991,MENA,1,25,6,1991,28,6,1991,1,,100,muslim fundamentalists,"political behavior, process",killings,4
Algeria,1992,MENA,1,4,2,1992,5,2,1992,1,,100,muslim fundamentalists,"political behavior, process",killings,2
Algeria,1992,MENA,1,7,2,1992,8,2,1992,1,,1000,muslim fundamentalists,"political behavior, process",killings,2
Algeria,1992,MENA,1,7,2,1992,8,2,1992,1,,1000,muslim fundamentalists,"political behavior, process",killings,2
Algeria,1992,MENA,1,17,7,1992,17,7,1992,1,,50,muslim fundamentalists,"political behavior, process",killings,1
Algeria,2014,MENA,1,12,3,2014,12,3,2014,0,50-99,50-60,Opposition leaders from secularist party Rally for Culture and Democracy (RCD) and the Islamist Movement for Peace and Society (MSP),"political behavior, process",crowd dispersal,1
Algeria,1997,MENA,1,30,10,1997,30,10,1997,0,,1000,opposition parties,"political behavior, process",ignore,1
Algeria,1999,MENA,1,16,4,1999,16,4,1999,0,,100,opposition parties,"political behavior, process",beatings,1
Algeria,2013,MENA,1,11,8,2013,11,8,2013,0,,1000s,protesters,"political behavior, process",ignore,1
Algeria,2015,MENA,1,6,1,2015,6,1,2015,0,2000-4999,2000,protesters,"political behavior, process",ignore,1
Algeria,2015,MENA,1,24,2,2015,24,2,2015,0,2000-4999,1000s,protesters,"political behavior, process",crowd dispersal,1
Algeria,2015,MENA,1,28,2,2015,28,2,2015,1,100-999,50+,protesters,"political behavior, process",arrests,1
Algeria,2014,MENA,1,13,10,2014,13,10,2014,1,50-99,>50,residents,"political behavior, process",crowd dispersal,1
Algeria,2001,MENA,1,14,6,2001,14,6,2001,1,,100000,"Berbers, youths","price increases, tax policy",crowd dispersal,1
Algeria,2009,MENA,1,20,10,2009,21,10,2009,1,,100,shantytown residents,"price increases, tax policy",crowd dispersal,2
Algeria,2014,MENA,1,1,3,2014,1,3,2014,0,50-99,50,anti-Bouteflika protesters,removal of politician,crowd dispersal,1
Algeria,2011,MENA,1,12,2,2011,12,2,2011,0,,10000,protesters,removal of politician,crowd dispersal,1
Algeria,2013,MENA,1,3,8,2013,3,8,2013,0,,300,Kabylie Autonomy Movement,social restrictions,ignore,1
Angola,2006,Africa,1,1,5,2006,1,5,2006,0,5000-10000,6000,Oil Unions,labor wage dispute,ignore,1
Angola,1991,Africa,1,24,12,1991,24,12,1991,1,100-999,300,servicemen and workers of the angolan air force and air defense force,labor wage dispute,ignore,1
Angola,2012,Africa,1,10,7,2012,10,7,2012,0,2000-4999,1000s,War Veterans,labor wage dispute,ignore,1
Angola,2016,Africa,1,10,8,2016,10,8,2016,0,50-99,50+,community members,land farm issue,shootings,1
Angola,2001,Africa,1,1,7,2001,1,7,2001,1,2000-4999,1000s,Protesters,land farm issue,crowd dispersal,1
Angola,2009,Africa,1,28,7,2009,28,7,2009,0,100-999,200,Protesters,land farm issue,crowd dispersal,1
Angola,2013,Africa,1,23,11,2013,23,11,2013,0,100-999,100s,Protesters,police brutality,crowd dispersal,1
Angola,2013,Africa,1,30,3,2013,30,3,2013,0,100-999,100,Students,police brutality,crowd dispersal,1
Angola,2005,Africa,1,2,7,2005,2,7,2005,0,100-999,100s,Campaign for Democratic Angola,"political behavior, process",ignore,1
Angola,1994,Africa,1,16,6,1994,16,6,1994,0,2000-4999,thousands,children,"political behavior, process",ignore,1
Angola,2005,Africa,1,31,1,2005,31,1,2005,0,>10000,10000s,Mpalabanda human rights organisation,"political behavior, process",ignore,1
Angola,2015,Africa,1,30,7,2015,30,7,2015,0,50-99,50+,protesters,"political behavior, process",crowd dispersal,1
Angola,2015,Africa,1,9,8,2015,9,8,2015,0,50-99,50,protesters,"political behavior, process",crowd dispersal,1
Angola,2015,Africa,1,12,10,2015,12,10,2015,0,100-999,100,protesters,"political behavior, process",arrests,1
Angola,2002,Africa,1,8,10,2002,8,10,2002,1,100-999,100s,Students,"political behavior, process",beatings,1
Angola,2003,Africa,1,25,7,2003,25,7,2003,0,100-999,600,Students,"political behavior, process",ignore,1
Angola,1999,Africa,1,29,12,1999,29,12,1999,0,100-999,500,Party for Development and Progress,"price increases, tax policy",beatings,1
Angola,2000,Africa,1,17,2,2000,17,2,2000,0,100-999,100,Party for Development and Progress,"price increases, tax policy",beatings,1
Angola,2000,Africa,1,11,3,2000,11,3,2000,0,100-999,500,seven Angolan opposition parties ,"price increases, tax policy",ignore,1
Angola,2003,Africa,1,24,4,2003,24,4,2003,0,2000-4999,1000s,Students,"price increases, tax policy",ignore,1
Angola,2004,Africa,1,2,3,2004,2,3,2004,0,>10000,10000s,Party for Democratic Support and Progress,removal of politician,ignore,1
Angola,2003,Africa,1,4,6,2003,4,6,2003,0,100-999,150,Party for Democratic Support and Progress in Angola (PADPA),removal of politician,arrests,1
Argentina,1994,South America,1,17,3,1994,17,3,1994,1,,200,Laid-off workers of a bankrupt Florida sugar mill,labor wage dispute,ignore,1
Argentina,2002,South America,1,26,6,2002,26,6,2002,1,,100,organized by groups closely allied with and in some cases financed by Mr. Duhalde's own Peronist Party,labor wage dispute,crowd dispersal,1
Argentina,2003,South America,1,26,8,2003,26,8,2003,0,,7000,piqueteros (unemployed demonstrators),labor wage dispute,accomodation,1
Argentina,2013,South America,1,3,12,2013,3,12,2013,0,,3000,Police,labor wage dispute,accomodation,1
Argentina,1999,South America,1,18,12,1999,18,12,1999,1,,50,public servants,labor wage dispute,crowd dispersal,1
Argentina,1994,South America,1,29,3,1994,29,3,1994,1,,1500,public workers,labor wage dispute,crowd dispersal,1
Argentina,1993,South America,1,21,12,1993,21,12,1993,0,,100,state employees ,labor wage dispute,crowd dispersal,1
Argentina,1993,South America,1,16,12,1993,17,12,1993,1,,1000,state employees ,labor wage dispute,crowd dispersal,2
Argentina,1997,South America,1,7,8,1997,7,8,1997,0,,300,unemployed,labor wage dispute,crowd dispersal,1
Argentina,2003,South America,1,23,12,2003,23,12,2003,0,,10000,unemployed,labor wage dispute,ignore,1
Argentina,2002,South America,1,11,3,2002,15,3,2002,0,,1000,unemployed workers,labor wage dispute,ignore,5
Argentina,1997,South America,1,13,8,1997,14,8,1997,0,,1000,union members and government employees,labor wage dispute,ignore,2
Argentina,1997,South America,1,20,7,1997,20,7,1997,0,,5000,Jews,police brutality,ignore,1
Argentina,1996,South America,1,30,3,1996,7,4,1996,1,,6000,prisoners/inmates,police brutality,accomodation,9
Argentina,2002,South America,1,22,4,2002,25,4,2002,0,,1000,"angry bank depositors, unemployed","political behavior, process",ignore,4
Argentina,2010,South America,1,15,7,2010,15,7,2010,0,,1000,anti-gay marriage people,"political behavior, process",ignore,1
Argentina,1994,South America,1,18,8,1994,18,8,1994,0,,4000,"Argentine Jewish Youth, Delegation of Argentine-Israeli Associations","political behavior, process",ignore,1
Argentina,2007,South America,1,10,8,2007,13,10,2007,0,,600,Chinese shopkeepers & consumer groups,"political behavior, process",ignore,65
Argentina,2007,South America,1,15,5,2007,15,5,2007,1,,50,commuters,"political behavior, process",crowd dispersal,1
Argentina,1991,South America,1,16,9,1991,16,9,1991,0,,1000,employees of state owned companies,"political behavior, process",ignore,1
Argentina,2009,South America,1,16,3,2009,16,3,2009,0,,1000,farmer groups,"political behavior, process",ignore,1
Argentina,2008,South America,1,25,5,2008,25,5,2008,0,,300000,farmers,"political behavior, process",ignore,1
Argentina,1995,South America,1,14,3,1995,14,3,1995,1,,2500,Front of Trade Unions of State Workers,"political behavior, process",crowd dispersal,1
Argentina,1996,South America,1,8,8,1996,8,8,1996,0,,1000,"General Confederation of Labour, Argentine Workers'Movement (MTA) and the Argentine Workers' Congress (CTA), the UCR [Radical Civic Union] and Frepaso [Front for a Country in Solidarity] ","political behavior, process",arrests,1
Argentina,1990,South America,1,21,3,1990,22,3,1990,0,,10000,General Labor Confederation,"political behavior, process",ignore,2
Argentina,2006,South America,1,24,5,2006,24,5,2006,1,,1000,including retired and active duty officers,"political behavior, process",ignore,1
Argentina,1994,South America,1,15,8,1994,15,8,1994,0,,200,Jews (Active Memory),"political behavior, process",ignore,1
Argentina,2001,South America,1,19,7,2001,19,7,2001,0,,10000,labor confederations,"political behavior, process",ignore,1
Argentina,1996,South America,1,26,7,1996,26,7,1996,0,,30000,labor movement,"political behavior, process",ignore,1
Argentina,1996,South America,1,26,9,1996,27,9,1996,0,,100000,labor movement,"political behavior, process",ignore,2
Argentina,2000,South America,1,21,4,2000,21,4,2000,0,,100,labor supporters,"political behavior, process",crowd dispersal,1
Argentina,1994,South America,1,2,3,1994,2,3,1994,1,,100,leftist group members,"political behavior, process",crowd dispersal,1
Argentina,2004,South America,1,19,2,2004,19,2,2004,0,,50000,masked protestors,"political behavior, process",ignore,1
Argentina,2008,South America,1,16,6,2008,16,6,2008,0,,1000,middle and upper class,"political behavior, process",ignore,1
Argentina,2002,South America,1,11,1,2002,11,1,2002,0,,100,middle class citizens,"political behavior, process",ignore,1
Argentina,2002,South America,1,20,12,2002,21,12,2002,0,,1000,middle class citizens,"political behavior, process",ignore,2
Argentina,1991,South America,1,19,1,1991,19,1,1991,0,,4000,"Movement Towards Socialism, the Workers' Party, the People's Intransigent Movement and the Permanent Assembly for Human Rights","political behavior, process",ignore,1
Argentina,2004,South America,1,4,8,2004,4,8,2004,0,,50,opposition and trade union groups,"political behavior, process",ignore,1
Argentina,2004,South America,1,26,1,2004,26,1,2004,0,,20000,piqueteros,"political behavior, process",ignore,1
Argentina,2015,South America,1,20,1,2015,20,1,2015,0,50-99,>50,protesters,"political behavior, process",ignore,1
Argentina,2015,South America,1,24,1,2015,24,1,2015,0,>10000,10000s,protesters,"political behavior, process",ignore,1
Argentina,2015,South America,1,28,1,2015,28,1,2015,0,50-99,>50,protesters,"political behavior, process",crowd dispersal,1
Argentina,2015,South America,1,18,2,2015,18,2,2015,0,>10000,10000s,"protesters, prosecutors, opposition leaders","political behavior, process",crowd dispersal,1
Argentina,1995,South America,1,26,7,1995,26,7,1995,1,,100,public employees,"political behavior, process",crowd dispersal,1
Argentina,1994,South America,1,4,4,1994,4,4,1994,1,,50,Public Workers Union Front (FGE),"political behavior, process",crowd dispersal,1
Argentina,1995,South America,1,22,3,1995,23,3,1995,1,,50,Radical Civic Union [UCR],"political behavior, process",crowd dispersal,2
Argentina,2010,South America,1,13,7,2010,13,7,2010,0,,50,Roman Catholic Church leaders,"political behavior, process",ignore,1
Argentina,1999,South America,1,1,7,1999,1,8,1999,1,,50,"state workers, unemployed","political behavior, process",ignore,32
Argentina,1996,South America,1,29,2,1996,29,2,1996,1,,100,students,"political behavior, process",crowd dispersal,1
Argentina,1999,South America,1,10,5,1999,13,5,1999,0,,1000,students,"political behavior, process",accomodation,4
Argentina,2007,South America,1,22,6,2007,22,6,2007,0,,50,taxi drivers,"political behavior, process",ignore,1
Argentina,1992,South America,1,2,7,1992,2,7,1992,0,,70000,teachers and students,"political behavior, process",ignore,1
Argentina,1992,South America,1,9,11,1992,9,11,1992,1,,1000,"teachers, transport, factory and communications workers, General Confederation of Labour","political behavior, process",ignore,1
Argentina,2001,South America,1,8,8,2001,30,8,2001,0,,1000,"teachers, workers","political behavior, process",ignore,23
Argentina,2000,South America,1,23,11,2000,26,11,2000,0,,1000000,three major trade unions,"political behavior, process",ignore,4
Argentina,2001,South America,1,15,6,2001,15,6,2001,1,,200,unemployed ,"political behavior, process",crowd dispersal,1
Argentina,2000,South America,1,11,11,2000,11,11,2000,1,,50,unemployed and state workers,"political behavior, process",crowd dispersal,1
Argentina,2001,South America,1,31,7,2001,31,7,2001,0,,10000,"unemployed workers, public employees and students","political behavior, process",ignore,1
Argentina,2001,South America,1,6,8,2001,6,8,2001,0,,1000,"unemployed workers, public employees and students","political behavior, process",ignore,1
Argentina,1994,South America,1,6,7,1994,6,7,1994,0,,10000,"unionists representing state workers, teachers, truck drivers, pharmaceutical workers, electricians and farmers, right-wingers, Communists, Socialists, homosexual organizations","political behavior, process",ignore,1
Argentina,2002,South America,1,15,1,2002,30,3,2002,1,,1000,widespread support of citizens,"political behavior, process",accomodation,75
Argentina,2016,South America,1,19,10,2016,19,10,2016,0,>10000,tens of thousands,women; NiUnaMenos,"political behavior, process",ignore,1
Argentina,1990,South America,1,5,3,1990,5,3,1990,0,,2500,workers,"political behavior, process",ignore,1
Argentina,2008,South America,1,12,3,2008,28,3,2008,0,,10000,farmers,"price increases, tax policy",ignore,17
Argentina,2008,South America,1,8,5,2008,20,5,2008,0,,1000,farmers,"price increases, tax policy",ignore,13
Argentina,2008,South America,1,10,6,2008,24,6,2008,0,,1000,farmers,"price increases, tax policy",ignore,15
Argentina,1999,South America,1,5,7,1999,8,7,1999,0,,10000,truck drivers,"price increases, tax policy",accomodation,4
Argentina,2004,South America,1,30,4,2004,30,4,2004,0,,100,"San Luis State Teachers' Association, teachers, public sector workers",removal of politician,crowd dispersal,1
Argentina,2010,South America,1,8,12,2010,15,12,2010,0,,6000,homeless immigrants & migrants,social restrictions,accomodation,8
Argentina,2015,South America,1,5,6,2015,5,6,2015,0,>10000,100000s,protesters,social restrictions,ignore,1
Armenia,2010,Europe,1,27,12,2010,27,12,2010,0,,100,Civil Servants,labor wage dispute,ignore,1
Armenia,1997,Europe,1,1,5,1997,1,5,1997,0,,15000,"Communist Party of Armenia, the conservative-democratic party Haykandoukht, the Social Democratic Party of Armenia, the National Rebirth Party",labor wage dispute,ignore,1
Armenia,2010,Europe,1,11,11,2010,11,11,2010,0,,170,employees of Armenia's two largest chemical enterprises,labor wage dispute,ignore,1
Armenia,2005,Europe,1,3,11,2005,3,11,2005,0,,100,pensioners,labor wage dispute,ignore,1
Armenia,2004,Europe,1,15,4,2004,15,4,2004,0,,1000,Armenian Helsinki Committee and rights activist,police brutality,ignore,1
Armenia,2008,Europe,1,7,4,2008,7,4,2008,0,,250,Armenian women,police brutality,ignore,1
Armenia,2005,Europe,1,9,11,2005,9,11,2005,0,,1000,Kurdistan Workers Party,police brutality,ignore,1
Armenia,2006,Europe,1,28,4,2006,28,4,2006,0,,500,New Times Party ,police brutality,ignore,1
Armenia,2009,Europe,1,1,3,2009,1,3,2009,0,,25000,Oposition Parties,police brutality,ignore,1
Armenia,2010,Europe,1,1,3,2010,1,3,2010,0,,3000,Oposition Parties,police brutality,ignore,1
Armenia,2010,Europe,1,19,10,2010,19,10,2010,0,,100,opposition Armenian National,police brutality,ignore,1
Armenia,2008,Europe,1,4,7,2008,4,7,2008,0,,20000,People's Party of Armenia,police brutality,ignore,1
Armenia,2008,Europe,1,9,4,2008,9,4,2008,0,,1000,People's Party of Armenia,police brutality,ignore,1
Armenia,2002,Europe,1,19,4,2002,19,4,2002,0,,4000," Democratic Party of Armenia, the Republic Party, the Union of Socialist Forces and others","political behavior, process",ignore,1
Armenia,2000,Europe,1,10,3,2000,10,3,2000,0,,100,100 relatives and political supporters of MP Musheg Movsisyan,"political behavior, process",ignore,1
Armenia,2002,Europe,1,5,4,2002,5,4,2002,0,,10000,14 opposition parties,"political behavior, process",ignore,1
Armenia,1990,Europe,1,16,4,1990,16,4,1990,1,,150000,Armenian National Movement,"political behavior, process",killings,1
Armenia,2011,Europe,1,17,3,2011,17,3,2011,0,,9000,Armenian opposition National Congress,"political behavior, process",ignore,1
Armenia,2005,Europe,1,25,11,2005,25,11,2005,0,,500,Armenian opposition parties ,"political behavior, process",ignore,1
Armenia,2005,Europe,1,28,11,2005,28,11,2005,0,,5000,Armenian opposition parties ,"political behavior, process",ignore,1
Armenia,2010,Europe,1,11,1,2010,11,1,2010,0,,1000,Armenian Revolutionary Federation,"political behavior, process",ignore,1
Armenia,1995,Europe,1,31,3,1995,31,3,1995,0,,10000,Armenian Revolutionary Federation Dashnaktsutyun,"political behavior, process",ignore,1
Armenia,1998,Europe,1,29,10,1998,29,10,1998,0,,100,Armenian war veterans,"political behavior, process",ignore,1
Armenia,2000,Europe,1,21,4,2000,21,4,2000,0,,12000,Communist Party of Armenia,"political behavior, process",ignore,1
Armenia,1997,Europe,1,31,10,1997,31,10,1997,0,,15000,Democratic Party of Armenia,"political behavior, process",ignore,1
Armenia,2013,Europe,1,20,2,2013,20,2,2013,0,,5000,Hovanessian's supporters,"political behavior, process",ignore,1
Armenia,2013,Europe,1,23,2,2013,23,2,2013,0,,12000,Hovannisian's supporters,"political behavior, process",ignore,1
Armenia,1995,Europe,1,21,6,1995,21,6,1995,1,,15000,National Democratic Party,"political behavior, process",beatings,1
Armenia,1995,Europe,1,11,4,1995,11,4,1995,0,,15000,National Democratic Union,"political behavior, process",ignore,1
Armenia,1996,Europe,1,23,9,1996,25,9,1996,0,,100000,National Democratic Union ,"political behavior, process",beatings,3
Armenia,1994,Europe,1,2,7,1994,2,7,1994,0,,20000,National Democratic Union of Armenia,"political behavior, process",ignore,1
Armenia,2015,Europe,1,30,10,2015,30,10,2015,0,50-99,50+,No! Movement and New Armenia Movement,"political behavior, process",ignore,1
Armenia,2015,Europe,1,5,10,2015,5,10,2015,1,100-999,100s,Noi Movement,"political behavior, process",arrests,1
